transaction_id,timestamp,day,merchant_id,merchant_category,merchant_volume_tier,customer_id,customer_tenure_days,customer_tx_count_30d,customer_avg_tx_size,customer_refund_rate,amount,payment_method,bank_name,card_bin,hour_of_day,day_of_week,is_weekend,velocity_1h,velocity_24h,velocity_7d,device_change_flag,geo_mismatch_flag,is_cross_border,3ds_used,is_fraud,is_flagged,is_false_positive,settlement_time_hours
TXN0000000,2024-01-02T18:29:00,1,M0086,Retail,high,C00690,20,2,922,0.0354,476.46,card,Canara,429133,18,1,0,0,0,0,0,0,0,0,0,0,1,20
TXN0000001,2024-01-02T21:55:00,1,M0088,Food,low,C00628,6,1,1373,0.0525,974.0,netbanking,SBI,547556,21,1,0,0,0,0,0,0,0,0,0,0,1,63
TXN0000002,2024-01-02T23:10:00,1,M0136,Logistics,mid,C00742,283,15,7773,0.2377,13000.94,wallet,Axis,472986,23,1,0,0,0,0,0,0,0,0,0,0,0,37
TXN0000003,2024-01-02T07:19:00,1,M0075,Retail,mid,C00798,897,108,3896,0.0264,6850.7,wallet,SBI,463560,7,1,0,12,0,0,0,1,0,1,0,1,1,38
TXN0000004,2024-01-02T18:00:00,1,M0100,Retail,low,C01211,878,79,20212,0.0123,9506.15,wallet,SBI,418455,18,1,0,0,0,0,0,0,0,0,0,0,0,58
TXN0000005,2024-01-02T15:27:00,1,M0087,Logistics,mid,C00557,161,5,6949,0.0163,17510.82,netbanking,Axis,574302,15,1,0,0,0,0,0,0,0,0,1,1,0,39
TXN0000006,2024-01-02T10:46:00,1,M0107,SaaS,mid,C00116,766,100,4386,0.0115,8013.03,wallet,Axis,553559,10,1,0,0,0,0,0,0,0,0,0,0,0,54
TXN0000007,2024-01-02T14:38:00,1,M0068,B2B,low,C00212,74,19,2080,0.1389,22804.07,card,Yes,552075,14,1,0,0,0,0,0,0,0,0,0,0,1,38
TXN0000008,2024-01-02T18:54:00,1,M0100,Retail,low,C01471,226,11,7159,0.0178,7099.51,card,HDFC,565287,18,1,0,0,0,0,0,0,0,1,0,0,0,70
TXN0000009,2024-01-02T09:52:00,1,M0105,SaaS,high,C00058,6,2,1129,0.0777,5574.26,card,Axis,546401,9,1,0,0,0,0,0,0,0,0,0,0,0,32
TXN0000010,2024-01-02T08:31:00,1,M0189,SaaS,mid,C00821,7,4,1949,0.2503,5177.82,wallet,Yes,563001,8,1,0,0,0,0,0,0,0,1,0,0,0,36
TXN0000011,2024-01-02T10:28:00,1,M0051,Food,low,C00542,75,16,6280,0.0499,7215.39,card,PNB,562128,10,1,0,0,0,0,0,0,0,1,0,0,0,17
TXN0000012,2024-01-02T10:22:00,1,M0182,Retail,high,C01224,168,17,1803,0.2423,3288.93,card,Canara,410688,10,1,0,0,0,0,0,0,0,1,0,0,0,29
